trial,list,itemid,item,type,condition,grammar,modality,verb_type,framing,picture,linguistic,critical,question,correct_answer
53,4,fl39,291,filler,filler,filler,linguistic,filler,"Today, Grace is ",,assembling furniture for her room,"After finishing, Lucas will help her move it into place.",Is Lucas going to sleep all day today?,N
54,4,c24,108,critical,condition3,canonical,visual,TRN,"Yesterday, Isaac was",c24_playingbaseball_m.png,,Zack was_journaling because he wanted_to improve his_mental health.,,
55,4,fl16,268,filler,filler,filler,visual,filler,"Today, Jonathan is ",f16_draftingthesis_m.png,,"Nevertheless, Alex is still brainstorming his ideas.",Is Alex already drafting his thesis?,N
56,4,d25,151,critical,condition4,canonical,linguistic,INT,"This afternoon, Victoria was",,dancing,Athena was_rehearsing because she needed_to prepare for_the performance.,,
57,4,fl40,292,filler,filler,filler,linguistic,filler,"This afternoon, Emma is ",,solving a jigsaw puzzle,"Although it’s challenging, Nathan is determined to complete one too.",Is Emma solving a jigsaw puzzle?,Y
58,4,e26,194,critical,condition5,pronoun,visual,TRN,"Last weekend, Ryan was",c26_lightingcandle_man.png,,Tyson was_doing_it_too because he wanted_to set the mood_for_dinner.,,
59,4,fl17,269,filler,filler,filler,visual,filler,"Tomorrow morning, Britney will",f17_rakingleaves_w.png,,"Before doing so, Leo plans to clear the garden of fallen branches.",Will Leo clear the garden of fallen branches?,Y
60,4,f27,237,critical,condition6,pronoun,linguistic,INT,"On Saturday, Sophia was",,iceskating,Stella was_doing_it_too because she wanted_to experience the famous_sport.,,
61,4,fl41,293,filler,filler,filler,linguistic,filler,"Tomorrow night, Olivia will ",,play the violin at the concert,"Nevertheless, Ethan feels nervous about performing his piece.",Will Olivia play the violin at the concert?,Y
62,4,a28,28,critical,condition1,ellipsis,visual,TRN,"Yesterday, Tyler was",c28_brushingteeth_m.png,,Joey was_too because he wanted_to look presentable.,,
63,4,fl18,270,filler,filler,filler,visual,filler,"Today, Kate is",f18_makingsandwitches_w.png,,"After she’s done, Daniel will help her pack them for a picnic.",Is Daniel making sandwitches?,N
64,4,b29,71,critical,condition2,ellipsis,linguistic,INT,"This morning, Ruby was",,yawning,Rebecca was_too because she had_to stay up_late_last_night.,,
65,4,fl42,294,filler,filler,filler,linguistic,filler,"This month, Chloe is ",,learning to swim at the pool,"After her session, Mason will give her tips on improving her strokes.",Will Mason give Chloe swimming tips?,Y
66,4,c30,114,critical,condition3,canonical,visual,INT,"Last weekend, Jordan was",c30_driving_m.png,,Hugo was_visiting because he needed_to see a_doctor.,,
67,4,fl19,271,filler,filler,filler,visual,filler,"Later today, Peter is ",f19_kneadingdough_.png,,"Although it takes time, Daniel is determined to knead his dough by hand.",Will Daniel knead his dough by hand?,Y
68,4,d31,157,critical,condition4,canonical,linguistic,INT,"On Sunday, Michaelle was",,boxing,Maria was_video_gaming because she wanted_to release her_stress.,,
69,4,fl43,295,filler,filler,filler,linguistic,filler,"Later this week, Ella will ",,plant vegetables in her garden,"Before she starts, Ryan will test the soil quality for her.",Will Ryan test the soil quality?,Y
70,4,e32,200,critical,condition5,pronoun,visual,INT,"Yesterday, Felix was",c32_surfing_m.png,,Brandon was_doing_it_too because he wanted_to enjoy his_free_time.,,
71,4,fl20,272,filler,filler,filler,visual,filler,"Later this afternoon, Emma is",f20_photographing_w.png,,"Although it’s cloudy, Ethan plans to photograph them too.",Is Ethan hunting birds?,N
72,4,f33,243,critical,condition6,pronoun,linguistic,TRN,"This afternoon, Linda was",,digging a hole,Melissa was_doing_it_too because she needed_to hide treasure.,,
73,4,fl44,296,filler,filler,filler,linguistic,filler,"This morning, Alex is",,reading a guidebook for his trip,"Before leaving, Sarah will compare her itinerary with his.",Is Alex reading a comic book?,N
74,4,a34,34,critical,condition1,ellipsis,visual,INT,"Two hours ago, Frank was",c34__packing_m.png,,Martin was_too because he had_to leave for_Costa_Rica.,,
75,4,fl21,273,filler,filler,filler,visual,filler,"Tomorrow evening, Stanley will ",f21_foldinglaundry_m.png,,"Before he starts, Logan will separate his whites and colors.",Will Logan separate whites and colors?,Y
76,4,b35,77,critical,condition2,ellipsis,linguistic,TRN,"Last weekend, Alicia was",,hunting a deer,Isabella was_too because she wanted_to get fresh_meat.,,
77,4,fl45,297,filler,filler,filler,linguistic,filler,"This afternoon, Tom is",,learning to skateboard at the park,"Although he struggles at first, Lisa is cheering him on.",Is Lisa cheering Tom on while he learns to skateboard?,Y
78,4,c36,120,critical,condition3,canonical,visual,TRN,"On Monday, Dominic was",c36_throwing_m.png,,Andrew was_training because he wanted_to show his_strength.,,
79,4,fl22,274,filler,filler,filler,visual,filler,"Today, Ava is ",f22_fixingbike_w.png,,"Nevertheless, Ethan is asking someone else to fix his.",Is Ethan fixing his own bike?,N
80,4,d37,163,critical,condition4,canonical,linguistic,TRN,"Yesterday, Daphne was",,hammering a nail,Bridget was_patching because she wanted_to fix the_broken_roof.,,
81,4,fl46,298,filler,filler,filler,linguistic,filler,"Tomorrow, Lucas will ",,go hiking in the mountains,"After the hike, Grace will suggest a scenic spot for photos.",Will Grace suggest a scenic spot for photos?,Y
82,4,e38,206,critical,condition5,pronoun,visual,INT,"This morning, Charles was",c38_smoking_m.png,,Wyatt was_doing_it_too because he needed_to calm his_nerves.,,
83,4,fl23,275,filler,filler,filler,visual,filler,"This month, Kyle is",f23_learningtoplaychess_m.png,,"After his lesson, Mason will challenge him to a game.",Will Mason challenge Kyle to a chess game?,Y
84,4,f39,249,critical,condition6,pronoun,linguistic,TRN,"Two hours ago, Jasmin  was",,kicking a person,Carla was_doing_it_too because she had_to show her_dominance.,,
85,4,fl47,299,filler,filler,filler,linguistic,filler,"This weekend, Emma will ",,organize her closet,"Although she dislikes tidying up, Ethan will help her sort things out.",Is Ethan helping Emma?,Y
86,4,a40,40,critical,condition1,ellipsis,visual,TRN,"Last weekend, Logan was",c40_punching_m.png,,Paul was_too because he had_to protect himself.,,
87,4,fl24,276,filler,filler,filler,visual,filler,"Later this evening, Ella is ",f24_settinguptent_w.png,,"Although it’s getting late, Ryan insists on setting his up too.",Is Ryan insisting on setting up his tent?,Y
88,4,b41,83,critical,condition2,ellipsis,linguistic,TRN,"On Tuesday, Catherine was",,pulling a rope,Jennifer was_too because she needed_to lift the heavy_couch.,,
89,4,fl48,300,filler,filler,filler,linguistic,filler,"Tomorrow morning, Ava will",,play soccer with her team,"Nevertheless, Liam will stick to watching from the sidelines.",Is Ava playing baseball?,N
90,4,c42,126,critical,condition3,canonical,visual,INT,"Yesterday, Adam was",c42_fishing_m.png,,Peter was_hiking because he wanted_to enjoy some_solitude.,,
1,5,fl1,253,filler,filler,filler,visual,filler,"Later today, Sarah is ",f1_experimentingrecipe_w.png,,"After she’s done, Alex will taste-test the results.",Will Sarah taste-test the results?,N
2,5,e1,169,critical,condition5,pronoun,visual,TRN,"Last Friday, Joanna was",c1_knitting_w.png,,Elizabeth was_doing_it_too because she wanted_to entertain herself.,,
3,5,fl25,277,filler,filler,filler,linguistic,filler,"Tomorrow, Lucas will ",,grill vegetables at the barbecue,"Before starting, Grace will marinate hers for extra flavor.",Will Grace marinate her vegetables before Lucas grills them?,Y
4,5,fl2,254,filler,filler,filler,visual,filler,"This afternoon, Greg is ",f2_learningtoknit_m.png,,"Although it’s his first time, Aaron is confident he'll do well.",Is Aaron learning to knit a scarf? ,N
5,5,f2,212,critical,condition6,pronoun,linguistic,TRN,"Yesterday, Lucas was",,painting a portrait,Nathan was_doing_it_too because she wanted_to be productive.,,
6,5,fl26,278,filler,filler,filler,linguistic,filler,"Today, Lily is ",,meditating by the lake,"Nevertheless, Liam prefers to meditate indoors where it’s quieter.",Is Liam meditating by the lake?,N
7,5,a3,3,critical,condition1,ellipsis,visual,TRN,"This morning, Maria was",c3_watering_w.png,,Kate was_too because he needed_to be responsible.,,
8,5,fl3,255,filler,filler,filler,visual,filler,"Tomorrow, Olivia will",f3_runningerrands_w.png,,"Before she leaves, Liam will make a list to share with her.",Will Liam make a list before Olivia leaves?,Y
9,5,b4,46,critical,condition2,ellipsis,linguistic,TRN,"On Monday, John was",,reading a book,Oliver was_too because he wanted_to learn history.,,
10,5,fl27,279,filler,filler,filler,linguistic,filler,"This afternoon, Ruby is",,drawing a portrait,"After she completes it, Aaron will frame it for her.",Will Aaron frame Ruby’s portrait after she completes it?,Y
11,5,c5,89,critical,condition3,canonical,visual,TRN,"Last weekend, Alice was",c5_cleaning_w.png,,Emma was_shopping because she wanted_to invite guests.,,
12,5,fl4,256,filler,filler,filler,visual,filler,"Today, Carl is",f4_fixingwatch_m.png,,"Nevertheless, Mason thinks it’s easier to buy a new one.",Is Mason fixing Carl’s old watch?,N
13,5,d6,132,critical,condition4,canonical,linguistic,TRN,"Yesterday, Jake was",,cutting an onion,Mike was_planning because he had_to prepare meals.,,
14,5,fl28,280,filler,filler,filler,linguistic,filler,"Later today, Olivia is",,flying a kite at the park,"Although the wind is light, Logan will give it a try as well.",Is Olivia flying a kite although the wind is light?,Y
15,5,e7,175,critical,condition5,pronoun,visual,INT,"This afternoon, Sophia was",c7_running_w.png,,Ella was_doing_it_too because she wanted_to enjoy the nice_weather.,,
16,5,fl5,257,filler,filler,filler,visual,filler,"This evening, Rachel is ",f5_preparingdinner_w.png,,"Before she starts, Mike will set the table to help speed things up.",Will Mike set the table?,Y
17,5,f8,218,critical,condition6,pronoun,linguistic,TRN,"On Tuesday, Mark was",,walking a dog,Bob was_doing_it_too because he wanted_to get some_exercise.,,
18,5,fl29,281,filler,filler,filler,linguistic,filler,"Tomorrow, Ella will",,bake a cake for her mother’s birthday,"Before she starts, Ethan will help her gather the ingredients.",Will Ethan help Ella gather ingredients before she starts baking?,Y
19,5,fl6,258,filler,filler,filler,visual,filler,"Tomorrow morning, Peter is ",f6_goingfoahike_m.png,,"Despite the early start, Claire plans to join him for the adventure.",Is Claire joining him for the adventure?,Y
20,5,a9,9,critical,condition1,ellipsis,visual,INT,"Last Friday, Mia was",c9_meditating_w.png,,Jessica was_too because she wanted_to practice mindfulness.,,
21,5,fl30,282,filler,filler,filler,linguistic,filler,"This weekend, Mary will",,snorkel near the coral reef ,"Although Logan doesn't have much experience, he will join her.",Is Logan joining Mary for snorkeling despite his lack of experience?,Y
22,5,b10,52,critical,condition2,ellipsis,linguistic,INT,"Yesterday, Sam was",,swimming,George was_too because he wanted_to be fit.,,
23,5,fl7,259,filler,filler,filler,visual,filler,"This morning, Alice is ",f7_readingnovel_w.png,,"Although it’s a small task, Tom will water the garden in the backyard afterward.",Is Tom smoking a cigarette?,N
24,5,c11,95,critical,condition3,canonical,visual,INT,"This morning, Elise was",c11_typing_w.png,,Anne was_studying because she had_to finish her_homework.,,
25,5,fl31,283,filler,filler,filler,linguistic,filler,"Later today, Anna is",,preparing a presentation,"After finishing hers, Ryan will practice delivering his.",Will Ryan practice delivering his presentation?,Y
26,5,d12,138,critical,condition4,canonical,linguistic,TRN,"On Wednesday, Jacob was",,drinking a beer ,Phillip was_traveling because he wanted_to forget the painful_breakup.,,
27,5,fl8,260,filler,filler,filler,visual,filler,"Tomorrow, Alex will",f8_wateringplants_m.png,,"Likewise, Sarah is going to water hers.",Will Sarah water her plants? ,Y
28,5,e13,181,critical,condition5,pronoun,visual,INT,"Last weekend, Christina was",c13_sleeping_w.png,,Sarah was_doing_it_too because she wanted_to relax after_work.,,
29,5,fl32,284,filler,filler,filler,linguistic,filler,"Tomorrow morning, Olivia will ",,run on the beach ,"Nevertheless, Liam prefers to run on a treadmill.",Does Liam prefer to run on the beach?,N
30,5,fl9,261,filler,filler,filler,visual,filler,"This afternoon, Emma is ",f9_bakingcookies_w.png,,"After she finishes, Sophie will bake some for her neighbors.",Will Sophie bake something?,Y
31,5,f14,224,critical,condition6,pronoun,linguistic,TRN,"Yesterday, Liam was",,playing the guitar,Noah was_doing_it_too because he wanted_to practice his_guitar.,,
32,5,fl33,285,filler,filler,filler,linguistic,filler,"Today, Lily is ",,polishing her shoes,"Although it’s a small chore, Jake is reluctant to polish his.",Does Jake want to polish his shoes?,N
33,5,a15,15,critical,condition1,ellipsis,visual,INT,"This afternoon, Zoe was",c15_singing_w.png,,Clara was_too because she wanted_to entertain her_friends.,,
34,5,fl10,262,filler,filler,filler,visual,filler,"Next weekend, Ted will ",f10_strolliingwithadog_m.png,,"Nevertheless, Jake will stroll with his in a different area to avoid the crowds.",Is Jake strolling with his dog in the same park as Ted?,N
35,5,fl34,286,filler,filler,filler,linguistic,filler,"This evening, Ruby is",,arranging flowers in a vase,"Before displaying them, Ethan will trim the stems for her.",Will Ethan trim the flower stems?,Y
36,5,b16,58,critical,condition2,ellipsis,linguistic,INT,"Last Thursday, Henry was",,skiing,Adam was_too because he wanted_to improve his_skills.,,
37,5,fl11,263,filler,filler,filler,visual,filler,"This morning, Daniela is ",f11_paintingroom_w.png,,"Although she dislikes painting, Maria is painting hers for a change of scenery.",Is Maria painting her room despite disliking it?,Y
38,5,c17,101,critical,condition3,canonical,visual,INT,"Yesterday, Amelia was",c17_litstening_w.png,,Cathy was_watching_TV because she wanted_to enjoy new_episodes.,,
39,5,fl35,287,filler,filler,filler,linguistic,filler,"Today, Sarah is",,sketching a landscape,"After completing hers, Alex will ask her for feedback on his.",Is Sarah sketching a landscape today?,Y
40,5,d18,144,critical,condition4,canonical,linguistic,TRN,"This morning, Celeb was",,carrying furniture,Owen was_driving because he had_to move to_a_new_apartment.,,
41,5,fl12,264,filler,filler,filler,visual,filler,"Today, Ray is ",f12_learningtobike_m.png,,"After he masters it, Sam will give him tips for riding on trails.",Will Sam give tips?,Y
42,5,e19,187,critical,condition5,pronoun,visual,INT,"Last weekend, Zara was",c19_climbing_w.png,,Natalie was_doing_it_too because she wanted_to get healthier.,,
43,5,fl36,288,filler,filler,filler,linguistic,filler,"This weekend, Mia will ",,build a birdhouse,"Although Chris isn’t a fan of crafts, he will build one too.",Will Chris build a birdhouse?,Y
44,5,f20,230,critical,condition6,pronoun,linguistic,INT,"Yesterday, Thomas was",,crying,Matthew was_doing_it_too because he had_to leave town.,,
45,5,fl13,265,filler,filler,filler,visual,filler,"This evening, Erica will ",f13_notingdown_w.png,,"Nevertheless, Anna might not take any since she prefers to listen attentively.",Does Anna prefer to listen attentively?,Y
46,5,fl37,289,filler,filler,filler,linguistic,filler,"This holiday season, Ava is ",,decorating her tree,"Nevertheless, Jacob is waiting until next week to start.",Is Jacob waiting until next week to decorate his tree?,Y
47,5,a21,21,critical,condition1,ellipsis,visual,INT,"This morning, Bella was",c21_laughing_w.png,,Chloe was_too because she needed_to release some_tension.,,
48,5,fl14,266,filler,filler,filler,visual,filler,"Later this week, Oscar will",f14_plantingflowers_m.png,,"Although the weather is unpredictable, Ethan will plant his tomorrow.",Is Oscar planting flowers?,Y
49,5,b22,64,critical,condition2,ellipsis,linguistic,INT,"On Tuesday, Blake was",,cycling,Ethan was_too because he needed_to go to_school.,,
50,5,fl38,290,filler,filler,filler,linguistic,filler,"Tomorrow morning, Lily will ",,clean her garage,"Before doing so, Noah will clear out the trash inside.",Will Noah clear the trash?,Y
51,5,c23,107,critical,condition3,canonical,visual,TRN,"Last weekend, Grace was",c23_washingcar_w.png,,Fiona was_performing because she had_to impress her_parents.,,
52,5,fl15,267,filler,filler,filler,visual,filler,"This evening, Lucy is ",f15_organizingbookshelf_w.png,,"After she finishes, Chris will borrow a book from her.",Will Chris borrow a knife?,N
53,5,fl39,291,filler,filler,filler,linguistic,filler,"Today, Grace is ",,assembling furniture for her room,"After finishing, Lucas will help her move it into place.",Is Lucas going to sleep all day today?,N
54,5,d24,150,critical,condition4,canonical,linguistic,TRN,"Yesterday, Isaac was",,playing baseball ,Zack was_journaling because he wanted_to improve his_mental health.,,
55,5,fl16,268,filler,filler,filler,visual,filler,"Today, Jonathan is ",f16_draftingthesis_m.png,,"Nevertheless, Alex is still brainstorming his ideas.",Is Alex already drafting his thesis?,N
56,5,e25,193,critical,condition5,pronoun,visual,INT,"This afternoon, Victoria was",c25_dancing_w.png,,Athena was_doing_it_too because she needed_to prepare for_the performance.,,
57,5,fl40,292,filler,filler,filler,linguistic,filler,"This afternoon, Emma is ",,solving a jigsaw puzzle,"Although it’s challenging, Nathan is determined to complete one too.",Is Emma solving a jigsaw puzzle?,Y
58,5,f26,236,critical,condition6,pronoun,linguistic,TRN,"Last weekend, Ryan was",,lighting a candle,Tyson was_doing_it_too because he wanted_to set the mood_for_dinner.,,
59,5,fl17,269,filler,filler,filler,visual,filler,"Tomorrow morning, Britney will",f17_rakingleaves_w.png,,"Before doing so, Leo plans to clear the garden of fallen branches.",Will Leo clear the garden of fallen branches?,Y
60,5,a27,27,critical,condition1,ellipsis,visual,INT,"On Saturday, Sophia was",c27_iceskating_w.png,,Stella was_too because she wanted_to experience the famous_sport.,,
61,5,fl41,293,filler,filler,filler,linguistic,filler,"Tomorrow night, Olivia will ",,play the violin at the concert,"Nevertheless, Ethan feels nervous about performing his piece.",Will Olivia play the violin at the concert?,Y
62,5,b28,70,critical,condition2,ellipsis,linguistic,TRN,"Yesterday, Tyler was",,brushing his teeth,Joey was_too because he wanted_to look presentable.,,
63,5,fl18,270,filler,filler,filler,visual,filler,"Today, Kate is",f18_makingsandwitches_w.png,,"After she’s done, Daniel will help her pack them for a picnic.",Is Daniel making sandwitches?,N
64,5,c29,113,critical,condition3,canonical,visual,INT,"This morning, Ruby was",c29_yawning_w.png,,Rebecca was_napping because she had_to stay up_late_last_night.,,
65,5,fl42,294,filler,filler,filler,linguistic,filler,"This month, Chloe is ",,learning to swim at the pool,"After her session, Mason will give her tips on improving her strokes.",Will Mason give Chloe swimming tips?,Y
66,5,d30,156,critical,condition4,canonical,linguistic,INT,"Last weekend, Jordan was",,driving a car,Hugo was_visiting because he needed_to see a_doctor.,,
67,5,fl19,271,filler,filler,filler,visual,filler,"Later today, Peter is ",f19_kneadingdough_.png,,"Although it takes time, Daniel is determined to knead his dough by hand.",Will Daniel knead his dough by hand?,Y
68,5,e31,199,critical,condition5,pronoun,visual,INT,"On Sunday, Michaelle was",c31_boxing_w.png,,Maria was_doing_it_too because she wanted_to release her_stress.,,
69,5,fl43,295,filler,filler,filler,linguistic,filler,"Later this week, Ella will ",,plant vegetables in her garden,"Before she starts, Ryan will test the soil quality for her.",Will Ryan test the soil quality?,Y
70,5,f32,242,critical,condition6,pronoun,linguistic,INT,"Yesterday, Felix was",,surfing,Brandon was_doing_it_too because he wanted_to enjoy his_free_time.,,
71,5,fl20,272,filler,filler,filler,visual,filler,"Later this afternoon, Emma is",f20_photographing_w.png,,"Although it’s cloudy, Ethan plans to photograph them too.",Is Ethan hunting birds?,N
72,5,a33,33,critical,condition1,ellipsis,visual,TRN,"This afternoon, Linda was",c33_digging_w.png,,Melissa was_too because she needed_to hide treasure.,,
73,5,fl44,296,filler,filler,filler,linguistic,filler,"This morning, Alex is",,reading a guidebook for his trip,"Before leaving, Sarah will compare her itinerary with his.",Is Alex reading a comic book?,N
74,5,b34,76,critical,condition2,ellipsis,linguistic,INT,"Two hours ago, Frank was",,packing,Martin was_too because he had_to leave for_Costa_Rica.,,
75,5,fl21,273,filler,filler,filler,visual,filler,"Tomorrow evening, Stanley will ",f21_foldinglaundry_m.png,,"Before he starts, Logan will separate his whites and colors.",Will Logan separate whites and colors?,Y
76,5,c35,119,critical,condition3,canonical,visual,TRN,"Last weekend, Alicia was",c35_hunting_woman.png,,Isabella was_waiting because she wanted_to get fresh_meat.,,
77,5,fl45,297,filler,filler,filler,linguistic,filler,"This afternoon, Tom is",,learning to skateboard at the park,"Although he struggles at first, Lisa is cheering him on.",Is Lisa cheering Tom on while he learns to skateboard?,Y
78,5,d36,162,critical,condition4,canonical,linguistic,TRN,"On Monday, Dominic was",,throwing a spear,Andrew was_training because he wanted_to show his_strength.,,
79,5,fl22,274,filler,filler,filler,visual,filler,"Today, Ava is ",f22_fixingbike_w.png,,"Nevertheless, Ethan is asking someone else to fix his.",Is Ethan fixing his own bike?,N
80,5,e37,205,critical,condition5,pronoun,visual,TRN,"Yesterday, Daphne was",c37_hammering_w.png,,Bridget was_doing_it_too because she wanted_to fix the_broken_roof.,,
81,5,fl46,298,filler,filler,filler,linguistic,filler,"Tomorrow, Lucas will ",,go hiking in the mountains,"After the hike, Grace will suggest a scenic spot for photos.",Will Grace suggest a scenic spot for photos?,Y
82,5,f38,248,critical,condition6,pronoun,linguistic,INT,"This morning, Charles was",,crawling,Wyatt was_doing_it_too because he needed_to calm his_nerves.,,
83,5,fl23,275,filler,filler,filler,visual,filler,"This month, Kyle is",f23_learningtoplaychess_m.png,,"After his lesson, Mason will challenge him to a game.",Will Mason challenge Kyle to a chess game?,Y
84,5,a39,39,critical,condition1,ellipsis,visual,TRN,"Two hours ago, Jasmin  was",c39_kicking_w.png,,Carla was_too because she had_to show her_dominance.,,
85,5,fl47,299,filler,filler,filler,linguistic,filler,"This weekend, Emma will ",,organize her closet,"Although she dislikes tidying up, Ethan will help her sort things out.",Is Ethan helping Emma?,Y
86,5,b40,82,critical,condition2,ellipsis,linguistic,TRN,"Last weekend, Logan was",,punching a person,Paul was_too because he had_to protect himself.,,
87,5,fl24,276,filler,filler,filler,visual,filler,"Later this evening, Ella is ",f24_settinguptent_w.png,,"Although it’s getting late, Ryan insists on setting his up too.",Is Ryan insisting on setting up his tent?,Y
88,5,c41,125,critical,condition3,canonical,visual,TRN,"On Tuesday, Catherine was",c41_pulling_w.png,,Jennifer was_struggling because she needed_to lift the heavy_couch.,,
89,5,fl48,300,filler,filler,filler,linguistic,filler,"Tomorrow morning, Ava will",,play soccer with her team,"Nevertheless, Liam will stick to watching from the sidelines.",Is Ava playing baseball?,N
90,5,d42,168,critical,condition4,canonical,linguistic,INT,"Yesterday, Adam was",,fishing,Peter was_hiking because he wanted_to enjoy some_solitude.,,
1,6,fl1,253,filler,filler,filler,visual,filler,"Later today, Sarah is ",f1_experimentingrecipe_w.png,,"After she’s done, Alex will taste-test the results.",Will Sarah taste-test the results?,N
2,6,f1,211,critical,condition6,pronoun,linguistic,TRN,"Last Friday, Joanna was",,knitting a scarf,Elizabeth was_doing_it_too because she wanted_to entertain herself.,,
3,6,fl25,277,filler,filler,filler,linguistic,filler,"Tomorrow, Lucas will ",,grill vegetables at the barbecue,"Before starting, Grace will marinate hers for extra flavor.",Will Grace marinate her vegetables before Lucas grills them?,Y
4,6,fl2,254,filler,filler,filler,visual,filler,"This afternoon, Greg is ",f2_learningtoknit_m.png,,"Although it’s his first time, Aaron is confident he'll do well.",Is Aaron learning to knit a scarf? ,N
5,6,a2,2,critical,condition1,ellipsis,visual,TRN,"Yesterday, Lucas was",c2_painting_m.png,,Nathan was_too because she wanted_to be productive.,,
6,6,fl26,278,filler,filler,filler,linguistic,filler,"Today, Lily is ",,meditating by the lake,"Nevertheless, Liam prefers to meditate indoors where it’s quieter.",Is Liam meditating by the lake?,N
7,6,b3,45,critical,condition2,ellipsis,linguistic,TRN,"This morning, Maria was",,watering a plant,Kate was_too because he needed_to be responsible.,,
8,6,fl3,255,filler,filler,filler,visual,filler,"Tomorrow, Olivia will",f3_runningerrands_w.png,,"Before she leaves, Liam will make a list to share with her.",Will Liam make a list before Olivia leaves?,Y
9,6,c4,88,critical,condition3,canonical,visual,TRN,"On Monday, John was",c4_reading_m.png,,Oliver was_studying because he wanted_to learn history.,,
10,6,fl27,279,filler,filler,filler,linguistic,filler,"This afternoon, Ruby is",,drawing a portrait,"After she completes it, Aaron will frame it for her.",Will Aaron frame Ruby’s portrait after she completes it?,Y
11,6,d5,131,critical,condition4,canonical,linguistic,TRN,"Last weekend, Alice was",,cleaning the floor,Emma was_shopping because she wanted_to invite guests.,,
12,6,fl4,256,filler,filler,filler,visual,filler,"Today, Carl is",f4_fixingwatch_m.png,,"Nevertheless, Mason thinks it’s easier to buy a new one.",Is Mason fixing Carl’s old watch?,N
13,6,e6,174,critical,condition5,pronoun,visual,TRN,"Yesterday, Jake was",c6_cutting_m.png,,Mike was_doing_it_too because he had_to prepare meals.,,
14,6,fl28,280,filler,filler,filler,linguistic,filler,"Later today, Olivia is",,flying a kite at the park,"Although the wind is light, Logan will give it a try as well.",Is Olivia flying a kite although the wind is light?,Y
15,6,f7,217,critical,condition6,pronoun,linguistic,INT,"This afternoon, Sophia was",,jogging,Ella was_doing_it_too because she wanted_to enjoy the nice_weather.,,
16,6,fl5,257,filler,filler,filler,visual,filler,"This evening, Rachel is ",f5_preparingdinner_w.png,,"Before she starts, Mike will set the table to help speed things up.",Will Mike set the table?,Y
17,6,a8,8,critical,condition1,ellipsis,visual,TRN,"On Tuesday, Mark was",c8_walkingdog_m.png,,Bob was_too because he wanted_to get_some exercise.,,
18,6,fl29,281,filler,filler,filler,linguistic,filler,"Tomorrow, Ella will",,bake a cake for her mother’s birthday,"Before she starts, Ethan will help her gather the ingredients.",Will Ethan help Ella gather ingredients before she starts baking?,Y
19,6,fl6,258,filler,filler,filler,visual,filler,"Tomorrow morning, Peter is ",f6_goingfoahike_m.png,,"Despite the early start, Claire plans to join him for the adventure.",Is Claire joining him for the adventure?,Y
20,6,b9,51,critical,condition2,ellipsis,linguistic,INT,"Last Friday, Mia was",,meditating,Jessica was_too because she wanted_to practice mindfulness.,,
21,6,fl30,282,filler,filler,filler,linguistic,filler,"This weekend, Mary will",,snorkel near the coral reef ,"Although Logan doesn't have much experience, he will join her.",Is Logan joining Mary for snorkeling despite his lack of experience?,Y
22,6,c10,94,critical,condition3,canonical,visual,INT,"Yesterday, Sam was",c10_swimming_m.png,,George was_weight-lifting because he wanted_to be fit.,,
23,6,fl7,259,filler,filler,filler,visual,filler,"This morning, Alice is ",f7_readingnovel_w.png,,"Although it’s a small task, Tom will water the garden in the backyard afterward.",Is Tom smoking a cigarette?,N
24,6,d11,137,critical,condition4,canonical,linguistic,INT,"This morning, Elise was",,typing,Anne was_studying because she had_to finish her_homework.,,
25,6,fl31,283,filler,filler,filler,linguistic,filler,"Later today, Anna is",,preparing a presentation,"After finishing hers, Ryan will practice delivering his.",Will Ryan practice delivering his presentation?,Y
26,6,e12,180,critical,condition5,pronoun,visual,TRN,"On Wednesday, Jacob was",c12_drinkingbeer_m.png,,Phillip was_doing_it_too because he wanted_to forget the painful_breakup.,,
27,6,fl8,260,filler,filler,filler,visual,filler,"Tomorrow, Alex will",f8_wateringplants_m.png,,"Likewise, Sarah is going to water her plants.",Will Sarah water her plants? ,Y
28,6,f13,223,critical,condition6,pronoun,linguistic,INT,"Last weekend, Christina was",,sleeping,Sarah was_doing_it_too because she wanted_to relax after_work.,,
29,6,fl32,284,filler,filler,filler,linguistic,filler,"Tomorrow morning, Olivia will ",,run on the beach ,"Nevertheless, Liam prefers to run on a treadmill.",Does Liam prefer to run on the beach?,N
30,6,fl9,261,filler,filler,filler,visual,filler,"This afternoon, Emma is ",f9_bakingcookies_w.png,,"After she finishes, Sophie will bake some for her neighbors.",Will Sophie bake something?,Y
31,6,a14,14,critical,condition1,ellipsis,visual,TRN,"Yesterday, Liam was",c14_playingguitar_m.png,,Noah was_too because he wanted_to practice his_guitar.,,
32,6,fl33,285,filler,filler,filler,linguistic,filler,"Today, Lily is ",,polishing her shoes,"Although it’s a small chore, Jake is reluctant to polish his.",Does Jake want to polish his shoes?,N
33,6,b15,57,critical,condition2,ellipsis,linguistic,INT,"This afternoon, Zoe was",,singing,Clara was_too because she wanted_to entertain her_friends.,,
34,6,fl10,262,filler,filler,filler,visual,filler,"Next weekend, Ted will ",f10_strolliingwithadog_m.png,,"Nevertheless, Jake will stroll with his in a different area to avoid the crowds.",Is Jake strolling with his dog in the same park as Ted?,N
35,6,fl34,286,filler,filler,filler,linguistic,filler,"This evening, Ruby is",,arranging flowers in a vase,"Before displaying them, Ethan will trim the stems for her.",Will Ethan trim the flower stems?,Y
